% time	cellId	Interference
0.121929	1	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.121929	2	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.221929	1	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.221929	2	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.321929	1	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.321929	2	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.421929	1	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.421929	2	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.521929	1	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
0.521929	2	9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 9.433e-17 
